1,Dijiang,A,M
2,Lamusi,A,M
3,Aaby,Gunnar Nielsen,M
4,Aabye,Edgar Lindenau,M
5,Aaftink,Christine Jacoba,F
6,Aaland,Per Knut,M
7,Aalberg,John,M
8,(-Strannood),"Cornelia ""Cor"" Aalten",F
9,Aalto,Antti Sami,M
10,Aalto,"Einar Ferdinand ""Einari""",M
11,Aalto,Jorma Ilmari,M
12,Aalto,Jyri Tapani,M
13,Aalto,Minna Maarit,F
14,(Mattila-),Pirjo Hannele Aalto,F
15,Aaltonen,Arvo Ossian,M
16,Aaltonen,Juhamatti Tapio,M
17,Aaltonen,Paavo Johannes,M
18,Aaltonen,Timo Antero,M
19,Aaltonen,Win Valdemar,M
20,Aamodt,Kjetil Andr,M
21,Aamodt,Ragnhild Margrethe,F
22,Aanei,Andreea,F
23,Aanes,Fritz,M
24,Aaness,Nils Egil,M
25,Aanning,Alf Lied,M
26,(-Eyde),Agnes Erika Aanonsen,F
27,Aantjes,Johan,M
28,Aarberg,Jan-Erik,M
29,Aardenburg,Willemien,F
30,Aardewijn,Pepijn,M
31,(rman-),Evald rma,M
32,Aarnes,Olav Augunson,M
33,Aarnikka,Mika Lauri,M
34,(Ahrass-),Jamale (Djamel-) Aarrass,M
35,Aarskog,Dagfinn Sverre,M
36,Aartsen,Stefan Remco,M
37,Aarnes,Ann Kristin,F
38,Aas,Karl Jan,M
39,Aas,Lars Thorlaksn,M
40,Aas,Roald Edgar,M
41,Aas,Rolf,M
42,Aas,Thomas Valentin,M
43,Aasen,Morten Gjerdrum,M
44,Aasme,Meelis,M
45,Aasns,Hakon,M
46,Aasns,Hans,M
47,Aastad,Erling Rudolf,M
48,Aatakni,Abdelhak,M
49,Aava,Moonika,F
50,Aavik,Arvi,M
51,Sanjun,Nstor Abad,M
52,Abada,Patrick,M
53,Abada,Talaat,M
54,Abadi,Mohamed Jamshid,M
55,Beci,Antonio Abadia,M
56,Abadie,Ren,M
57,Abadzhiev,Borislav,M
58,Abadzhiev,Georgi,M
59,Abadzhiev,Ivan Nikolov,M
60,Abadzhiev,Mikhail,M
61,Abadzhiev,Stefan,M
62,Abagnale,Giovanni,M
63,Gmez,Jos Luis Abajo,M
64,Abakar,M'Bairo,M
65,Abakarova,Patimat,F
66,Abakkar,Mohamed,M
67,(-Tarabina),Mariya Vasilyevna Abakumova,F
68,Abal,Pablo Martn,M
69,Daz,Tamara Abalde,F
70,Martnez,Jess Iory Aball,M
71,Delgado,Juan Antonio Aball,M
72,Abalmasov,Aleksey Aleksandrovich,M
73,Abalo,Luc,M
74,Abalo,Mara Laura,F
75,Abalof,Giorgos,M
76,Etong,Jouan Patrice Abanda,M
77,Abang,Antoine,M
78,Abanoz,Salim,M
79,Gonzlez,Carlos Abarca,M
80,Plotas,Jos Mara Abarca,M
81,Abaris,Georgios,M
82,Martnez,Enrique Abaroa,M
83,Chavez,Carlos Arturo Abarza,M
84,Abas,Stephen Anthony,M
85,Garca,Alejandro Abascal,M
86,Gmez,Jos Manuel Abascal,M
87,Abashidze,Rost'om Omeris dze,M
88,(-Myslaieva),Nunu Dzhansuhivna Abashydze,F
89,Abasolo,Rodrigo,M
90,Abasova,Tamila Rashidovna,F
