0,Dosedel,S.
1,Ljubicic,I.
2,Enqvist,T.
3,Clement,A.
4,Escude,N.
5,Baccanello,P.
6,Federer,R.
7,Knippschild,J.
8,Fromberg,R.
9,Woodbridge,T.
10,Gambill,J.M.
11,Arthurs,W.
12,Grosjean,S.
13,Ilie,A.
14,Henman,T.
15,Balcells,J.
16,Hewitt,L.
17,Woodforde,M.
18,Lisnard,J.
19,Tebbutt,M.
20,Martin,A.
21,Spadea,V.
22,Norman,M.
23,Draper,S.
24,Petrovic,D.
25,Huet,S.
26,Sekulov,J.
27,Pozzi,G.
28,Stoltenberg,J.
29,Hrbaty,D.
30,Vinck,C.
31,Goldstein,P.
32,Agenor,R.
33,Kumar,S.
34,Behrend,T.
35,Popp,A.
36,Damm,M.
37,Rochus,C.
38,Delgado,J.
39,Black,B.
40,Golmard,J.
41,Spottl,M.
42,Hantschk,M.
43,Tieleman,L.
44,Jonsson,F.
45,Kroslak,J.
46,Ketola,T.
47,Ogorodov,O.
48,Manta,L.
49,Zib,T.
50,Paes,L.
51,Boutter,J.
52,Pioline,C.
53,Ram,A.
54,Sanguinetti,D.
55,Voinea,A.
56,Stanoytchev,O.
57,Kilderry,P.
58,Tabara,M.
59,Kafelnikov,Y.
60,Vanek,J.
61,Ishii,Y.
62,Vinciguerra,A.
63,Lopez-Moron,A.
64,Bastl,G.
65,Novak,J.
66,Berasategui,A.
67,Al-Alawi,S.K.
68,Caratti,C.
69,Heuberger,I.
70,Cherkasov,A.
71,Arazi,H.
72,El Aynaoui,Y.
73,Dupuis,A.
74,Gaudio,G.
75,Luxa,P.
76,Kiefer,N.
77,Tarango,J.
78,Marin,J.A.
79,Mantilla,F.
80,Mirnyi,M.
81,Puerta,M.
82,Santoro,F.
83,Burgsmuller,L.
84,Schalken,S.
85,Diaz,J.
86,Schuettler,R.
87,Sanchez,J.
88,Squillari,F.
89,Siemerink,J.
90,Tillstrom,M.
91,Ivanisevic,G.
92,Vacek,D.
93,Vicente,F.
94,van Lottum,J.
95,Blanco,G.
96,Chang,M.
97,Ferrero,J.C.
98,Sargsian,S.
99,Gustafsson,M.
100,Nielsen,M.
101,Haas,T.
102,Johansson,T.
103,Weiner,G.
104,Costa,F.
105,Bjorkman,J.
106,Rosset,M.
107,Sell,M.
108,Woodruff,C.
109,Clavet,F.
110,Kuerten,G.
111,Zabaleta,M.
112,Corretja,A.
113,Ullyett,K.
114,Costa,A.
115,Koubek,S.
116,Meligeni,F.
117,Kucera,K.
118,Lapentti,N.
119,Safin,M.
120,Martin,T.
121,Medvedev,A.
122,Agassi,A.
123,Alami,K.
124,Alonso,J.
125,Black,W.
126,Rodriguez,M.
127,Parmar,A.
128,Courier,J.
129,Ferreira,W.
130,Motomura,G.
131,Saulnier,C.
132,Hill,M.
133,Karbacher,B.
134,Kulti,N.
135,Canas,G.
136,Cadart,R.
137,Krajicek,R.
138,Llodra,M.
139,Mamiit,C.
140,Hipfl,M.
141,Philippoussis,M.
142,Okun,N.
143,Portas,A.
144,Pretzsch,A.
145,O'Brien,A.
146,Sampras,P.
147,Sluiter,R.
148,Gaudenzi,A.
149,Sirianni,J.
150,Srichaphan,P.
151,Stafford,G.
152,Lareau,S.
153,Wessels,P.
154,Gumy,H.
155,Gross,O.
156,Alvarez,E.
157,Pavel,A.
158,Prinosil,D.
159,di Pasquale,A.
160,Guardiola,T.
161,Roux,L.
162,Raoux,G.
163,King,P.
164,Taino,E.
165,Salzenstein,J.
166,Gimelstob,J.
167,Blake,J.
168,Larsson,M.
169,Liukko,V.
170,Malisse,X.
171,Humphries,S.
172,Massu,N.
173,Levy,H.
174,MacPhie,B.
175,Jensen,L.
176,Etlis,G.
177,Knowles,M.
178,Reneberg,R.
179,Sa,A.
180,Bryan,B.
181,Dewulf,F.
182,Rusedski,G.
183,Chela,J.I.
184,Hernandez,A.
185,Ulihrach,B.
186,Bruguera,S.
187,Viloca,J.A.
188,Pless,K.
189,Bryan,M.
190,Calatrava,A.
191,Stark,J.
192,Rafter,P.
193,Szymanski,J.
194,Roddick,A.
195,Kratochvil,M.
196,Gonzalez,F.
197,Calleri,A.
198,Garcia,A.
199,Hood,M.
200,Rios,M.
201,Gonzalez,P.
202,Hadad,M.
203,Prieto,S.
204,Cortes,J.
205,Ondruska,M.
206,Moya,C.
207,Dent,T.
208,Nalbandian,D.
209,Fish,M.
210,Ruud,C.
211,Kim,K.
212,Harper-Griffith,L.
213,Russell,M.
214,Browne,F.
215,Stoliarov,A.
216,Coutelot,N.
217,El Aarej,M.
218,Tahiri,M.
219,Youzhny,M.
220,Willems,R.
221,Wiltschnig,H.
222,Mota,B.
223,Marques,N.
224,Burrieza,O.
225,Lopez,F.
226,Robredo,T.
227,Navarro,S.
228,Puentes,G.
229,Garcia,M.
230,Coria,G.
231,Goellner,M.K.
232,Fahlke,A.
233,Delgado,R.
234,Armando,H.
235,Sabau,R.
236,Furlan,R.
237,Kohlmann,M.
238,Melzer,J.
239,Giner,J.
240,Charpentier,M.
241,Eschauer,W.
242,Mahut,N.
243,Serrano,O.
244,Prodon,E.
245,Savolt,A.
246,Phau,B.
247,Trifu,G.
248,Witt,A.
249,Cowan,B.
250,Nestor,D.
251,Lee,M.
252,Wheaton,D.
253,Landsberg,J.
254,Palmer,J.
255,Braasch,K.
256,Boruszewski,J.
257,Wassen,R.
258,van Scheppingen,D.
259,Gaudi,I.
260,Bower,J.
261,Godwin,N.
262,Bhupathi,M.
263,MacLagan,M.
264,Rochus,O.
265,Voltchkov,V.
266,Timfjord,N.
267,Johansson,J.
268,Fleischfresser,T.
269,Arnold,L.
270,Thomann,N.
271,Thomas,J.
272,Morrison,J.
273,Verkerk,M.
274,Davydenko,N.
275,Tiilikainen,K.
276,Kempes,E.
277,Filippini,M.
278,Roitman,S.
279,Elsner,D.
280,Hernych,J.
281,Miketa,D.
282,Carretero,R.
283,Peschek,D.
284,Zovko,L.
285,Martelli,M.
286,Vajda,I.
287,Kralert,P.
288,Sanchez,D.
289,Schranz,W.
290,Moretti,H.
291,Trimmel,C.
292,Vasek,R.
293,Fasching,A.
294,Luzzi,F.
295,Cabello,F.
296,Mathieu,P.H.
297,Cobolli,S.
298,Nargiso,D.
299,Malcor,O.
300,Tramacchi,P.
301,Larose,S.
302,Niemeyer,F.
303,Mor,L.
304,Washington,M.
305,Capalik,K.
306,Caldwell,D.
307,Harsanyi,P.
308,Kim,A.
309,Kauffmann,C.
310,Lee,H.T.
311,Simoni,A.
312,Moldovan,I.
313,Herm-Zahlava,J.
314,Pescariu,D.
315,Erlich,J.
316,Kutsenko,V.
317,Tarallo,S.
318,Tong,M.
319,Galimberti,G.
320,Flygt,K.
321,Friedl,L.
322,Iwabuchi,S.
323,Suzuki,T.
324,Onoda,M.
325,Miyao,J.
326,Yoon,Y.
327,Mlynarik,Z.
328,Zhu,B.Q.
329,Zhang,Y.
330,Golovanov,D.
331,Bachelot,J.F.
332,Kornienko,I.
333,Childs,L.
334,Freelove,O.
335,Milligan,L.
336,Nieminen,J.
337,Froberg,J.
338,Ortegren,J.
339,Sarstrand,M.
340,Jones,A.
341,Smith,L.
342,Syed,F.
343,Zimonjic,N.
344,Schukin,Y.
345,Fukarek,O.
346,Breen,M.
347,Perry,T.
348,Svarc,L.
349,Hirigoyen,I.
350,Horna,L.
351,Moyano,D.
352,Tobon,M.
353,Behr,N.
354,Settergren,J.
355,Koll,H.
356,Arquez,P.
357,Acasuso,J.
358,Tursunov,D.
359,Eagle,J.
360,Bahrouzyan,O.
361,Saretta,F.
362,Vemic,D.
363,Ginepri,R.
364,Belal,C.
365,Vacek,J.
366,Couto,E.
367,Montanes,A.
368,Sousa,T.
369,Labadze,I.
370,Cermak,F.
371,Melo,D.
372,Volandri,F.
373,Navarra,M.
374,Santopadre,V.
375,Traykov,I.
376,Andersen,J.F.
377,Galvani,S.
378,Elseneer,G.
379,Carlsen,K.
380,Allegro,Y.
381,Hilton,M.
382,Derepasko,A.
383,Knowle,J.
384,Vlasov,D.
385,Radic,M.
386,Norman,D.
387,Mutis,O.
388,Lopez,M.
389,Tkalec,M.
390,Bozic,I.
391,Schiessling,T.
392,Marach,O.
393,Peya,A.
394,Joyce,M.
395,Cuadrado,C.
396,Pfeiffer,K.
397,Stepanek,R.
398,Fleishman,Z.
399,Brasington,J.
400,Bogomolov,Jr.A.
401,de Chaunac,S.
402,Peppas,S.
403,Ramirez Hidalgo,R.
404,Alves,T.
405,Mello,R.
406,Oncins,J.
407,Tomashevich,D.
408,Karlovic,I.
409,Jiang,S.
410,Wang,Y.
411,Koenig,R.
412,Terachi,T.
413,Shimada,T.
414,Hui,J.
415,Garcia-Sintes,J.
416,Zitko,R.
417,Kondo,H.
418,Udomchoke,D.
419,Benneteau,J.
420,Elgin,M.
421,Soderling,R.
422,Dupre,T.
423,Al Khulaifi,N.G.
424,Willman,D.
425,Reid,T.
426,Larkham,T.
427,Crabb,J.
428,Patience,O.
429,Gremelmayr,D.
430,Carraz,G.
431,Gicquel,M.
432,Ascione,T.
433,Daniel,M.
434,Hormazabal,G.
435,Silva,J.
436,Olguin,L.
437,Massa,E.
438,Mazarakis,V.
439,Ancic,M.
440,Matias,N.
441,Ferrer,D.
442,Verdasco,F.
443,Gasquet,R.
444,Krajan,Z.
445,Perez,D.
446,Marin,L.
447,Nadal-Parera,R.
448,Albert,M.
449,Kohlschreiber,P.
450,Ager,J.
451,Hadad,A.
452,Vassallo-Arguello,M.
453,Varlet,J.
454,Miranda,I.
455,Dreekmann,H.
456,Bogdanovic,A.
457,Moodie,W.
458,Coetzee,J.
459,Muller,G.
460,Ivanov-Smolensky,K.
461,Beck,K.
462,Guzman,J.P.
463,Economidis,K.
464,Mackin,A.
465,Waske,A.
466,Vahaly,B.
467,Prpic,F.
468,Fraile,G.
469,Hanescu,V.
470,Todero,N.
471,Blake,T.
472,Ellwood,B.
473,Kennedy,A.
474,Nijaki,R.
475,Dabrowski,B.
476,Dancevic,F.
477,Baker,B.
478,Agaev,E.
479,Ram,R.
480,Spracklin,T.
481,Hanley,P.
482,Lukaev,R.
483,Boeker,M.
484,Rehnquist,B.
485,Saoudi,S.
486,Kunitcin,I.
487,Amritraj,P.
488,Abel,M.
489,Craca,M.
490,Bohaboy,D.
491,Shvec,A.
492,Serra,F.
493,Vliegen,K.
494,Bopanna,R.
495,Lisnard,J.R.
496,Hantschek,M.
497,Khalfan,S.
498,Rea,S.
499,Kendrick,R.
500,Luczak,P.
501,Durek,R.
502,Lapentti,G.
503,Henry,R.
504,Bogomolov Jr.,A.
505,Gambill J.,M.
506,Gamonal,H.
507,Peralta,J.
508,Gallardo Valles,M.
509,Norby,R.
510,Dell'Acqua,M.
511,Gooding,J.
512,Ouahabi,T.
513,Hernandez,O.
514,Rocha,D.
515,Lopes,H.
516,Nadal,R.
517,Srichaphan,N.
518,Garcia-Lopez,G.
519,Kunitsyn,I.
520,Mathieu,P.
521,Schuettler,P.
522,Weinzierl,J.
523,Delfino,M.
524,Koderisch,C.
525,Scherrer,J.C.
526,de Voest,R.
527,Marray,J.
528,Logtens,P.
529,Moser,F.
530,Hemmes,F.
531,Petzschner,P.
532,Mertinak,M.
533,Bloomfield,R.
534,Andersson,H.
535,Prpic,A.
536,Lammer,M.
537,Wawrinka,S.
538,Brown,D.
539,Guccione,C.
540,Pescosolido,S.
541,Levinsky,J.
542,Starace,P.
543,Greul,S.
544,Levine,I.
545,Behrmann,M.
546,Reynolds,B.
547,Delic,A.
548,Ayala,D.
549,Tipsarevic,J.
550,Neumuller,I.
551,Mergea,F.
552,Vik,R.
553,Seppi,A.
554,Koellerer,D.
555,Karanusic,R.
556,Tuksar,S.
557,Yim,R.
558,Fyrstenberg,M.
559,Matkowski,M.
560,Urban,F.
561,Carlson,A.
562,Youzhny,A.
563,Ramirez-Hidalgo,R.
564,Berdych,T.
565,Quintero,M.
566,Ferreiro,F.
567,Capdeville,P.
